cold homes need heat, 
black dog bit thieves, 
smart guys fix things, 
red cat ate rats, 
fast car hit walls, 
sweet boys kiss girls, 
nice dad held sons, 
good minds save lives, 
dry fur rubs skin, 
great goat climbs hills, 
hot tea burns tongues, 
wise teen read books, 
poor men want work, 
clear words make sense, 
slow wolf stole eggs, 
brave votes help towns, 
mad wife broke plates, 
fat kid likes food, 
big chimps throw fruits, 
young fans cheer stars, 
loud sound hurts ears, 
sharp knife cuts ropes, 
hard rocks smash heads, 
fine chefs cook meals, 
bright queens wear crowns, 
sick tramp drank wine, 
ill trees lost leafs, 
thick smoke kills bees, 
bored mum did stuff, 
dark lord threw spells, 
rich counts own lands, 
long walks strain legs, 
grey ship fires bombs, 
large planes cross clouds, 
small boat fought waves, 
old king loves deer, 
kind host gave beers, 
cool bands play songs, 
fun jokes please crowds, 
pure gas lights lamps, 
skilled smiths craft steel, 
new staff broke rules, 
strict law had flaws, 
weak birds built nests, 
green bug seeks holes, 
tall slaves pour tea, 
bold cop beats crime, 
brown bears feed cubs, 
cute pug felt pain, 
tough scene shows blood, 
tired aunt bakes cakes, 
warm rain melt snow, 
flat feet cause aches, 
starved hounds chase trucks, 
huge spoon brought soup, 
strong wind shuts doors, 
odd clown sang tales, 
best friends end stress, 
short dwarfs forge swords, 
white shark scares fish, 
thin guards swipe cards, 
blue pen leaks ink, 
high heels squeeze toes, 
blunt axe chops wood, 
worn toys wound hands, 
quick fox caught hens, 
grand branch blocks streets, 
deep rock hid gold, 
wet dirt soil socks, 
pink squid sinks rafts, 
vast space lacks air, 
slick crooks steal rings
